player_name,position_group,round.roundNumber,position_top_n,position_percentile,percentile_rating,raw_score,dream_team_points,goals,kicks,handballs,marks,behinds,tackles,clearances,inside_50s,rebound_50s,contested_possessions,marks_inside_50,contested_marks,frees_for,frees_against,clangers,goal_assists,effective_disposals,spoils,ground_ball_gets,one_percenters,intercept_marks,weight_goals,weight_kicks,weight_handballs,weight_marks,weight_behinds,weight_tackles,weight_clearances,weight_inside_50s,weight_rebound_50s,weight_contested_possessions,weight_marks_inside_50,weight_contested_marks,weight_frees_for,weight_frees_against,weight_clangers,weight_goal_assists,weight_effective_disposals,weight_spoils,weight_ground_ball_gets,weight_one_percenters,weight_intercept_marks,contribution_goals,contribution_kicks,contribution_handballs,contribution_marks,contribution_behinds,contribution_tackles,contribution_clearances,contribution_inside_50s,contribution_rebound_50s,contribution_contested_possessions,contribution_marks_inside_50,contribution_contested_marks,contribution_frees_for,contribution_frees_against,contribution_clangers,contribution_goal_assists,contribution_effective_disposals,contribution_spoils,contribution_ground_ball_gets,contribution_one_percenters,contribution_intercept_marks
Jake Waterman,Forward,5,1,100.0,10.0,41.727,148,6,16,2,13,2,4,0,4,0,10,8,8,2,0,3,0,12.0,0.0,1.0,2,0.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,15.0,1.232,0.222,2.1710000000000003,0.6,1.0,0.0,1.332,0.0,1.25,8.0,8.0,2.0,-0.0,-0.75,0.0,0.804,0.0,0.2,0.666,0.0
Jesse Hogan,Forward,1,2,99.96141975308642,9.99,41.137,121,6,15,3,8,2,1,0,2,0,11,7,5,4,0,1,3,16.0,0.0,3.0,0,0.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,15.0,1.155,0.333,1.336,0.6,0.25,0.0,0.666,0.0,1.375,7.0,5.0,4.0,-0.0,-0.25,3.0,1.072,0.0,0.6000000000000001,0.0,0.0
Joel Amartey,Forward,14,3,99.92283950617285,9.98,38.992000000000004,131,9,10,0,7,1,6,0,0,0,6,7,3,1,0,0,0,9.0,0.0,2.0,0,0.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,22.5,0.77,0.0,1.169,0.3,1.5,0.0,0.0,0.0,0.75,7.0,3.0,1.0,-0.0,-0.0,0.0,0.603,0.0,0.4,0.0,0.0
Eric Hipwood,Forward,13,4,99.88425925925925,9.97,36.473,140,6,16,4,13,2,2,0,7,0,7,7,4,0,1,3,0,12.0,2.0,3.0,2,1.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,15.0,1.232,0.444,2.1710000000000003,0.6,0.5,0.0,2.331,0.0,0.875,7.0,4.0,0.0,-1.0,-0.75,0.0,0.804,1.0,0.6000000000000001,0.666,1.0
Jeremy Cameron,Forward,24,5,99.84567901234568,9.97,35.244,121,9,12,2,9,1,1,0,0,0,1,9,0,1,2,3,0,12.0,1.0,1.0,2,0.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,22.5,0.9239999999999999,0.222,1.5030000000000001,0.3,0.25,0.0,0.0,0.0,0.125,9.0,0.0,1.0,-2.0,-0.75,0.0,0.804,0.5,0.2,0.666,0.0
Dylan Moore,Forward,12,6,99.8070987654321,9.96,33.391000000000005,132,5,17,10,5,1,3,3,5,1,10,3,0,3,0,2,2,21.0,1.0,8.0,1,1.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,12.5,1.309,1.11,0.8350000000000001,0.3,0.75,0.9990000000000001,1.665,0.333,1.25,3.0,0.0,3.0,-0.0,-0.5,2.0,1.407,0.5,1.6,0.333,1.0
Jesse Hogan,Forward,17,7,99.76851851851852,9.95,33.072,119,5,11,4,9,0,5,0,0,0,9,6,6,1,0,2,1,10.0,1.0,2.0,1,0.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,12.5,0.847,0.444,1.5030000000000001,0.0,1.25,0.0,0.0,0.0,1.125,6.0,6.0,1.0,-0.0,-0.5,1.0,0.67,0.5,0.4,0.333,0.0
Tim Membrey,Forward,19,8,99.72993827160494,9.94,33.004999999999995,154,5,18,5,10,0,7,0,5,0,11,4,3,2,0,8,2,14.0,1.0,5.0,2,0.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,12.5,1.386,0.555,1.6700000000000002,0.0,1.75,0.0,1.665,0.0,1.375,4.0,3.0,2.0,-0.0,-2.0,2.0,0.9380000000000001,0.5,1.0,0.666,0.0
Joe Daniher,Forward,4,9,99.69135802469135,9.93,32.641,135,5,17,3,12,4,2,0,3,0,9,9,2,1,1,4,0,13.0,0.0,4.0,0,1.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,12.5,1.309,0.333,2.004,1.2,0.5,0.0,0.9990000000000001,0.0,1.125,9.0,2.0,1.0,-1.0,-1.0,0.0,0.871,0.0,0.8,0.0,1.0
Brent Daniels,Forward,23,10,99.65277777777779,9.92,32.588,171,3,17,12,7,1,13,7,5,2,11,2,0,4,0,1,2,24.0,0.0,5.0,1,1.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,7.5,1.309,1.332,1.169,0.3,3.25,2.331,1.665,0.666,1.375,2.0,0.0,4.0,-0.0,-0.25,2.0,1.608,0.0,1.0,0.333,1.0
Lachie Neale,Midfielder,17,1,100.0,10.0,29.089000000000006,143,3,20,16,9,0,2,10,6,2,18,1,1,1,1,5,1,28.0,0.0,12.0,0,2.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,7.5,1.54,1.776,1.5030000000000001,0.0,0.5,3.33,1.9980000000000002,0.666,2.25,1.0,1.0,1.0,-1.0,-1.25,1.0,1.8760000000000001,0.0,2.4000000000000004,0.0,2.0
Jordan Dawson,Midfielder,6,2,99.9537037037037,9.99,29.081,155,2,22,9,7,0,9,3,8,3,14,0,2,2,0,3,0,22.0,1.0,10.0,1,4.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,5.0,1.694,0.999,1.169,0.0,2.25,0.9990000000000001,2.664,0.9990000000000001,1.75,0.0,2.0,2.0,-0.0,-0.75,0.0,1.4740000000000002,0.5,2.0,0.333,4.0
Marcus Bontempelli,Midfielder,14,3,99.9074074074074,9.98,28.928,142,3,20,10,8,0,5,7,8,1,13,1,0,0,0,4,3,21.0,1.0,10.0,4,1.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,7.5,1.54,1.11,1.336,0.0,1.25,2.331,2.664,0.333,1.625,1.0,0.0,0.0,-0.0,-1.0,3.0,1.407,0.5,2.0,1.332,1.0
Nick Daicos,Midfielder,24,4,99.86111111111111,9.97,28.863,157,2,25,15,11,1,1,9,10,3,10,2,0,2,0,2,1,31.0,0.0,7.0,1,1.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,5.0,1.925,1.665,1.8370000000000002,0.3,0.25,2.9970000000000003,3.33,0.9990000000000001,1.25,2.0,0.0,2.0,-0.0,-0.5,1.0,2.077,0.0,1.4000000000000001,0.333,1.0
Marcus Bontempelli,Midfielder,12,5,99.81481481481481,9.96,28.679,159,2,17,21,5,0,9,10,4,1,16,1,1,3,0,3,1,28.0,1.0,10.0,1,0.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,5.0,1.309,2.331,0.8350000000000001,0.0,2.25,3.33,1.332,0.333,2.0,1.0,1.0,3.0,-0.0,-0.75,1.0,1.8760000000000001,0.5,2.0,0.333,0.0
Lachie Neale,Midfielder,24,6,99.76851851851852,9.95,27.839999999999996,139,1,24,16,7,1,1,7,7,2,19,0,0,3,0,1,2,33.0,0.0,15.0,1,2.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,2.5,1.8479999999999999,1.776,1.169,0.3,0.25,2.331,2.331,0.666,2.375,0.0,0.0,3.0,-0.0,-0.25,2.0,2.2110000000000003,0.0,3.0,0.333,2.0
Isaac Heeney,Midfielder,4,7,99.72222222222223,9.94,27.724999999999998,108,2,10,16,3,0,6,7,5,1,17,1,0,4,1,3,4,24.0,0.0,11.0,2,0.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,5.0,0.77,1.776,0.501,0.0,1.5,2.331,1.665,0.333,2.125,1.0,0.0,4.0,-1.0,-0.75,4.0,1.608,0.0,2.2,0.666,0.0
Patrick Cripps,Midfielder,16,8,99.67592592592592,9.93,27.657999999999998,129,1,16,24,5,0,4,14,9,1,17,1,0,3,3,8,3,32.0,1.0,10.0,2,2.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,2.5,1.232,2.664,0.8350000000000001,0.0,1.0,4.662,2.9970000000000003,0.333,2.125,1.0,0.0,3.0,-3.0,-2.0,3.0,2.144,0.5,2.0,0.666,2.0
Christian Petracca,Midfielder,9,9,99.62962962962963,9.92,27.53,134,5,18,3,6,1,7,4,6,0,7,4,0,0,1,3,2,12.0,0.0,5.0,0,0.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,12.5,1.386,0.333,1.002,0.3,1.75,1.332,1.9980000000000002,0.0,0.875,4.0,0.0,0.0,-1.0,-0.75,2.0,0.804,0.0,1.0,0.0,0.0
Tom Liberatore,Midfielder,4,10,99.58333333333333,9.91,27.456999999999997,132,1,16,19,1,0,9,19,5,1,28,0,0,4,1,2,0,23.0,0.0,15.0,1,0.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,2.5,1.232,2.109,0.167,0.0,2.25,6.327,1.665,0.333,3.5,0.0,0.0,4.0,-1.0,-0.5,0.0,1.5410000000000001,0.0,3.0,0.333,0.0
Jordan Ridley,Defender,11,1,100.0,10.0,29.133,132,1,24,7,12,0,1,0,3,7,10,0,3,0,0,2,0,27.0,4.0,6.0,5,8.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,2.5,1.8479999999999999,0.777,2.004,0.0,0.25,0.0,0.9990000000000001,2.331,1.25,0.0,3.0,0.0,-0.0,-0.5,0.0,1.8090000000000002,2.0,1.2000000000000002,1.665,8.0
Sam Taylor,Defender,2,2,99.96141975308642,9.99,29.068,91,0,11,6,10,0,4,0,0,3,10,0,6,0,0,0,0,15.0,7.0,4.0,7,9.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,0.0,0.847,0.666,1.6700000000000002,0.0,1.0,0.0,0.0,0.9990000000000001,1.25,0.0,6.0,0.0,-0.0,-0.0,0.0,1.0050000000000001,3.5,0.8,2.331,9.0
Jacob Weitering,Defender,18,3,99.92283950617285,9.98,28.9,97,0,17,4,11,0,1,1,0,6,11,0,5,4,1,3,0,18.0,5.0,2.0,6,8.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,0.0,1.309,0.444,1.8370000000000002,0.0,0.25,0.333,0.0,1.9980000000000002,1.375,0.0,5.0,4.0,-1.0,-0.75,0.0,1.206,2.5,0.4,1.9980000000000002,8.0
Jeremy Howe,Defender,21,4,99.88425925925925,9.97,27.79,95,0,18,2,7,0,4,0,0,11,4,0,2,0,0,1,0,16.0,15.0,1.0,16,4.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,0.0,1.386,0.222,1.169,0.0,1.0,0.0,0.0,3.6630000000000003,0.5,0.0,2.0,0.0,-0.0,-0.25,0.0,1.072,7.5,0.2,5.328,4.0
Jeremy McGovern,Defender,22,5,99.84567901234568,9.97,27.582,98,0,17,8,6,0,3,0,1,11,10,0,2,1,0,3,0,21.0,10.0,7.0,10,5.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,0.0,1.309,0.888,1.002,0.0,0.75,0.0,0.333,3.6630000000000003,1.25,0.0,2.0,1.0,-0.0,-0.75,0.0,1.407,5.0,1.4000000000000001,3.33,5.0
Jack Buckley,Defender,8,6,99.8070987654321,9.96,27.488,51,0,10,4,6,0,0,0,0,4,7,0,3,1,2,2,0,12.0,17.0,3.0,17,6.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,0.0,0.77,0.444,1.002,0.0,0.0,0.0,0.0,1.332,0.875,0.0,3.0,1.0,-2.0,-0.5,0.0,0.804,8.5,0.6000000000000001,5.6610000000000005,6.0
Harris Andrews,Defender,9,7,99.76851851851852,9.95,27.199,76,0,11,6,9,0,1,0,1,1,8,0,5,0,0,2,0,15.0,13.0,3.0,14,5.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,0.0,0.847,0.666,1.5030000000000001,0.0,0.25,0.0,0.333,0.333,1.0,0.0,5.0,0.0,-0.0,-0.5,0.0,1.0050000000000001,6.5,0.6000000000000001,4.662,5.0
Nic Martin,Defender,18,8,99.72993827160494,9.94,26.980000000000004,143,4,21,5,9,0,4,0,3,2,6,2,0,3,0,3,1,22.0,1.0,5.0,2,1.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,10.0,1.617,0.555,1.5030000000000001,0.0,1.0,0.0,0.9990000000000001,0.666,0.75,2.0,0.0,3.0,-0.0,-0.75,1.0,1.4740000000000002,0.5,1.0,0.666,1.0
Tom Stewart,Defender,2,9,99.69135802469135,9.93,26.443,114,0,20,8,11,0,2,2,1,9,7,0,3,0,1,4,0,25.0,4.0,4.0,4,10.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,0.0,1.54,0.888,1.8370000000000002,0.0,0.5,0.666,0.333,2.9970000000000003,0.875,0.0,3.0,0.0,-1.0,-1.0,0.0,1.675,2.0,0.8,1.332,10.0
Harry Sheezel,Defender,20,10,99.65277777777779,9.92,25.817,118,1,13,23,3,0,5,9,4,1,25,2,0,1,1,1,2,29.0,0.0,16.0,4,0.0,2.5,0.077,0.111,0.167,0.3,0.25,0.333,0.333,0.333,0.125,1.0,1.0,1.0,-1.0,-0.25,1.0,0.067,0.5,0.2,0.333,1.0,2.5,1.001,2.553,0.501,0.0,1.25,2.9970000000000003,1.332,0.333,3.125,2.0,0.0,1.0,-1.0,-0.25,2.0,1.943,0.0,3.2,1.332,0.0
